`id` bigint(20) UNSIGNED NOT NULL,;  `description` text NOT NULL,;  `quantity` int(11) NOT NULL,;  `amount` decimal(11,2) NOT NULL,;  `VAT` decimal(8,2) NOT NULL, 0,2;  `invoice_id` bigint(20)  ID de la facture,;  `created_at` timestamp NULL DEFAULT NULL,;  `updated_at` timestamp NULL DEFAULT NULL,;  `deleted_at` timestamp NULL DEFAULT NULL
165;"Expertise Immobilière de deux comemrces sis, Boulevard Mohamed VI, Résidence « Fath Zhar », Immeuble N°16,
Route de Mediouna, Casablanca - Maroc, objet du T.F N°692/48 et T.F N°693/48";2;1250.00;0.20;165;NULL;NULL;NULL
166;Expertise Immoblière sis, de type « Plateau bureau », sis 20, Rue n°11, Résidence « Smail » Bureau N°7, Rez-De-Chaussée, Quartier de L’Hermitage, Préfecture Derb Sultan Al Fida, Casablanca – Maroc, objet du T.F N°14.807/34.;1;2000.00;0.20;166;NULL;NULL;NULL
167;Expertise Immobilière  d’un « Bien » immobilier, de type « Villa », sis Angle Rue Oulad Fares & Rue Taghjijt, Villa N°01, Quartier Souissi, Arrondissement Agdal-Ryad, Rabat – Maroc. Objet du T.F N° 23.890/R.;1;3000.00;0.20;167;NULL;NULL;NULL
168;"Expertise Immobilière  d’un « Bien » immobilier, de type « Appt », sis Kalaat Al Mansouria, 
Immeuble Laayoune 1, 
RDC,
Province de Benslimane
El Mansouria
Maroc.. Objet du T.F N° 19.722/25";1;2500.00;0.20;168;NULL;NULL;NULL
169;"Expertise Immobilière pour la valeur vénale, d’un « Bien » immobilier, de type « Riad »  sis
Rue Dar Alglaoui, Derb Alkafta N°03, Quartier Bab Dokala, Marrakech - Maroc. Objet du T.F N° 35.179/M.

Evalaution des travaux de rénovation du Riad objet du T.F N°35.179/M.";1;8793.33;0.20;169;NULL;NULL;NULL
170;Expertise d’un « Bien » immobilier, de type « Terrain », sis Douar Oulad Ahmed Benbrahim, Province El Kelaa des Sraghna, Marrakech- Maroc. Objet du TF N°1.123/72;1;6500.00;0.20;170;NULL;NULL;NULL
171;Expertise Immoblière sis, de type «Bureau », sis 131, Bd d'Anfa, Appt N°5B, 5ème étage, Arrondissement Sidi Belyout, Prefecture d'Anfa, Casablanca – Maroc, objet du T.F N°44.327/01.;1;2500.00;0.20;171;NULL;NULL;NULL
172;"Expertise de la valeur vénale, d’un «
Bien » immobilier, de type « Villa », sis Rue N°05, Lot Saloma 2, N°113, Préfecture d'Aïn Sebaâ-Hay  Mohammadi, Casablanca – Maroc. Objet du T.F N° 134.046/12.";1;3000.00;0.20;172;NULL;NULL;NULL
173;"Expertise Immioblière de la valeur vénale, d’un actif immobilier, de type « Unité », sis Commune de Had Soualem,
Province de Settat, Douar Lakhlaif, Région de Casablanca-Settat- Maroc, objet du TF N°38.902/53.";1;5000.00;0.20;173;NULL;NULL;NULL
174;Expertise Immobilière;1;3333.33;0.20;174;NULL;NULL;NULL
175;Expertise Immobilière;1;2000.00;0.20;175;NULL;NULL;NULL
176;Expertise Immobilière d’un actif immobilier, de type « Unité Industrielle », sis Parc Industriel et Technologique « LOGINTEK », Commune Sidi El Aidi, Settat- Maroc, objet du T.F.M N°1.400/T.;1;7000.00;0.20;176;NULL;NULL;NULL
177;Expertise Immobilière;1;1333.33;0.20;177;NULL;NULL;NULL
178;Expertise Immobilière;1;1333.33;0.20;178;NULL;NULL;NULL
179;Expertise Immobilière;1;1333.33;0.20;179;NULL;NULL;NULL
180;Expertise Immobilière;1;1250.00;0.20;180;NULL;NULL;NULL
181;Expertise Immobilière;1;1000.00;0.20;181;NULL;NULL;NULL
182;Expertise Immobilière;1;1000.00;0.20;182;NULL;NULL;NULL
183;Expertise Immobilière;1;1250.00;0.20;183;NULL;NULL;NULL
184;Expertise Immobilière;1;1250.00;0.20;184;NULL;NULL;NULL
185;Expertise Immobilière;1;1333.33;0.20;185;NULL;NULL;NULL
186;Expertise Immobilière;1;1166.67;0.20;186;NULL;NULL;NULL
187;Expertise Immobilière;1;1333.33;0.20;187;NULL;NULL;NULL
188;Expertise Immobilière;1;1333.33;0.20;188;NULL;NULL;NULL
189;Expertise Immobilière;1;1500.00;0.20;189;NULL;NULL;NULL
190;Expertise Immobilière;1;1333.33;0.20;190;NULL;NULL;NULL
191;Expertise Immobilière;1;1333.33;0.20;191;NULL;NULL;NULL
192;Expertise Immobilière;1;1000.00;0.20;192;NULL;NULL;NULL
193;Expertise Immobilière;1;1000.00;0.20;193;NULL;NULL;NULL
194;Expertise Immobilière;1;1333.33;0.20;194;NULL;NULL;NULL
195;"Action de formation sur la thématique ""Evaluation Immobilière"" le 11 Mai 2023";1;1500.00;0.20;195;NULL;NULL;NULL
196;"Action de formation sur la thématique ""Evaluation Immobilière"" le 11 Mai 2023";1;1500.00;0.20;196;NULL;NULL;NULL
197;"Action de formation sur la thématique ""Evaluation Immobilière"" le 11 Mai 2023";1;1500.00;0.20;197;NULL;NULL;NULL
198;"Action de formation sur la thématique ""Evaluation Immobilière"" le 11 Mai 2023";1;1500.00;0.20;198;NULL;NULL;NULL
199;"Expertise Immiobilière sis Boulevard Sfax, Zone industrielle Bernoussi, Casablanca-
Maroc. Objet du T.F. N°103.176/C.";1;6500.00;0.20;199;NULL;NULL;NULL
200;"Evaluation Immobilière, sis Angle rue Tata et rue Mâarakat Ohoud, Place 16 Novembre, Arrondissement Anfa, Casablanca - Maroc, objet des T.F N°53.540/01 & 53.541/01.

Evalaution Immobilière, sis 197, Boulevard Zerktouni, Quartier Maârif, Arrondissement Anfa, Casablanca - Maroc, objet du T.F N°75.944/01.";2;2800.00;0.20;200;NULL;NULL;NULL
201;"Expertise Immobilière d’un « Bien » immobilier, de type « Appartement », sis Rue Idriss I, Résidence « HOUDA »,
3ème étage, Appartement N°06, Quartier Hamria, Meknès - Maroc, objet du T.F N° 123.779/05.";1;2000.00;0.20;201;NULL;NULL;NULL
202;"Expertise  immobilière sis Villa N°102, Ville verte de Bouskoura, Province de Nouaceur, Casablanca –
Maroc. Objet du T.F N° 40.251/63.
immobilier, de type « Villa », sis Villa";1;2500.00;0.20;202;NULL;NULL;NULL
203;Expertise Immobilière;1;1500.00;0.20;203;NULL;NULL;NULL
204;"Expertise Immobilière ,situé à Rue 100 (exONE), Lotissement « Soufiane », N°84, Quartier Sidi
Maârouf, Arrondissement Ain Chock, Casablanca - Maroc, objet du T.F N°61.087/47.";1;2500.00;0.20;204;NULL;NULL;NULL
205;Evaluation Immobilière;1;13750.00;0.20;205;NULL;NULL;NULL
206;Expertise Immobilière d’un bien immobilier de type « Commerce », situé à 249, Boulevard Ziraoui, Arrondissement Anfa, Casablanca - Maroc, objet du T.F N°122.529/01.;1;2500.00;0.20;206;NULL;NULL;NULL
207;"Expertise Immobilière d’un « Bien » immobilier, de type « Villa », sis Lotissement « YASMINA », Villa N°211, Mohammedia – Maroc. Objet du T.F
N° 668/26.";1;2500.00;0.20;207;NULL;NULL;NULL
208;Expertise Immobilière;3;2500.00;0.20;208;NULL;NULL;NULL
209;"Estimation de la valeur vénale
d’un « Bien » immobilier, de type « Lot de Terrain pour Crèche et Maternelle », sis Lotissement « Anfa
Mohammedia II », Lot N°36, Hay El Alia, Mohammedia - Maroc, objet du T.F N° 76.218/26.";1;2500.00;0.20;209;NULL;NULL;NULL
210;Expertise Immobilière;1;1500.00;0.20;210;NULL;NULL;NULL
211;Expertise Immobilière;1;1666.67;0.20;211;NULL;NULL;NULL
212;Expertise Immobilière pour estimation de la valeur vénale d’un « Bien » immobilier, de type « Terrain », et validation du montage de l’opération immobilière, sis Lot n° 142 Angle Avenue Mohamed Diouri & Rue Mohamed El Aamraoui -Kenitra – Maroc, Objet du TF N°30.861/R.;1;9500.00;0.20;212;NULL;NULL;NULL
213;Expertise Immobilière;1;1333.33;0.20;213;NULL;NULL;NULL
